,tailnum,origin,dest,qa_year_month_day,qa_hour_minute,qa_dep_arr_time,qa_dep_arr_delay,qa_carrier,qa_tailnum,qa_flight,qa_origin_dest,qa_air_time,qa_distance,qa_distance_airtime
1584,N525VA,SEA,SFO,,,,,,,F,,,,TR
1585,N822UA,PDX,SFO,,,,,,,F,,,,TR
1586,N532AS,SEA,EWR,,,FA,,,,F,,,,TL
1587,N529AS,SEA,SLC,,,,,,,F,,,,TR
1588,N532AS,SEA,KTN,,,,,,,F,,,,TL
1589,N439AA,PDX,DFW,,,,,,,,,,,TL
1590,N815DN,PDX,ATL,,,,,,,F,,,,TR
1591,N679AW,PDX,PHX,,,,,,,F,,,,TR
1592,N825SK,SEA,PDX,,,,,,,,,,,TR
1593,N533AS,SEA,FAI,,,,,,,F,,,,TL
1594,N742SK,PDX,SFO,,,,,,,,,,,TL
1595,N523UA,PDX,ORD,,,,,,,F,,,,TR
1596,N423AS,PDX,LAX,,,,,,,F,,,,TR
1597,N78524,SEA,IAD,,,,,,F,,,,,TL
1598,N3JCAA,SEA,DFW,,,,,,F,,,,,TR
1599,N569AS,PDX,SNA,,,,,,,F,,,,TL
1600,N219AG,SEA,COS,,,,,,,,,,,TR
1601,N419AS,SEA,SFO,,,,,,,F,,,,TL
1602,N594AS,PDX,OGG,,,,,,,F,,,,TL
1603,N525AS,SEA,SAT,,,,,,,F,,,,TR
1604,N128DL,SEA,ATL,,,,,,,F,,,,TL
1605,N223SW,SEA,PDX,,,,,,,,,,,TR
1606,N589AS,SEA,ORD,,,,,,,F,,,,TR
1607,N68817,SEA,IAH,,,,,,F,,,,,TL
1608,N947WN,SEA,MDW,,,,,,,,,,,TL
1609,N6706Q,SEA,SLC,,,,,,,F,,,,TL
1610,N594SW,PDX,SFO,,MH,MD,MD,,,,,M,,M
1611,N3745B,SEA,SLC,,,,,,,,,,,TR
1612,N530VA,SEA,LAX,,,,,,,F,,,,TL
1613,N213WN,SEA,ABQ,,,,,,,F,,,,TR
1614,N8613K,SEA,SMF,,,,,,,F,,,,TR
1615,N6710E,PDX,DTW,,,,,,,,,,,TL
1616,N453AS,SEA,LAS,,,,,,,F,,,,TR
1617,N935FR,SEA,DEN,,,,,,,F,,,,TL
1618,N3EXAA,SEA,ORD,,,,,,F,,,,,TR
1619,N583AS,PDX,LAS,,,,,,,F,,,,TR
1620,N589AS,SEA,HNL,,,,,,,F,,,,TL
1621,N444WN,PDX,SJC,,,,,,,F,,,,TL
1622,N279WN,PDX,LAS,,,,,,,,,,,TR
1623,N785SW,PDX,DEN,,,,,,,,,,,TR
1624,N535UA,SEA,IAD,,,,,,,F,,,,TR
1625,N208FR,PDX,DEN,,,,,,,F,,,,TR
1626,N712SW,SEA,MKE,,,,,,,,,,,TR
1627,N3GYAA,SEA,DFW,,,,,,F,,,,,TR
1628,N804SK,SEA,LAS,,,,,,,,,,,TR
1629,N107US,SEA,CLT,,,,,,,,,,,TL
1630,N224AG,PDX,ONT,,,,,,,,,,,TR
1631,N219AG,PDX,BUR,,,,,,,,,,,TL
1632,N530AS,SEA,GEG,,,,,,,F,,,,TR
1633,N652JB,PDX,LGB,,,,,,,,,,,TL
1634,N294SW,SEA,PDX,,,,,,,,,,,TR
1635,N609AS,SEA,PHX,,,,,,,F,,,,TL
1636,N708AS,SEA,SFO,,,,,,,F,,,,TL
1637,N218AG,SEA,SLC,,,,,,,,,,,TR
1638,N433AS,SEA,ANC,,,,,,,F,,,,TL
1639,N792AS,SEA,LAX,,,,,,,F,,,,TL
1640,N373HA,SEA,OGG,,,,,,,F,,,,TL
1641,N525AS,SEA,BWI,,,,,,,F,,,,TL
1642,N320AS,SEA,LAX,,,,,,,F,,,,TL
1643,N658CT,PDX,EUG,,,,,,,,,,,TR
1644,N549AS,PDX,BOS,,,,,,,F,,,,TL
1645,N705AS,SEA,KTN,,,,,,,F,,,,TR
1646,N801DZ,SEA,DTW,,,,,,,,,,,TR
1647,N527AS,SEA,LAS,,,,,,,F,,,,TL
1648,N519AS,SEA,LAX,,,,,,,F,,,,TL
1649,N436WN,PDX,SMF,,,,,,,F,,,,TR
1650,N608SK,SEA,LAX,,,,,,,,,,,TR
1651,N562AS,SEA,LAS,,,,,,,F,,,,TR
1652,N73283,SEA,SFO,,,,,,F,,,,,TR
1653,N597AS,SEA,SFO,,,,,,,F,,,,TL
1654,N560AS,SEA,SMF,,,,,,,F,,,,TR
1655,N3FFAA,SEA,ORD,,,,,,F,F,,,,TR
1656,N457AS,SEA,EWR,,,,,,,F,,,,TL
1657,N7728D,SEA,LAS,,,,,,,,,,,TL
1658,N319AS,PDX,ATL,,,,,,,F,,,,TL
1659,N624VA,PDX,SFO,,,,,,,F,,,,TR
1660,N125DL,SEA,MSP,,,FD,,,,,,,,TL
1661,N817AW,SEA,CLT,,,,,,,,,,,TR
1662,N78448,PDX,ORD,,,,,,F,F,,,,TL
1663,N949FR,PDX,DEN,,,,,,,F,,,,TR
1664,N577AS,SEA,SMF,,,,,,,F,,,,TR
1665,N625AS,SEA,BUR,,,,,,,F,,,,TL
1666,N521VA,SEA,LAX,,,,,,,F,,,,TL
1667,N696DL,PDX,DTW,,,,,,,,,,,TR
1668,N219AG,PDX,SBA,,,,,,,,,,,TR
1669,N917WN,SEA,OAK,,,,,,,F,,,,TR
1670,N26210,PDX,IAH,,,,,,F,,,,,TR
1671,N409AS,SEA,IAH,,,,,,,F,,,,TL
1672,N847UA,PDX,SFO,,,,,,,F,,,,TR
1673,N513UA,SEA,DEN,,,,,,,F,,,,TR
1674,N817DN,SEA,ANC,,,,,,,,,,,TR
1675,N37408,PDX,IAH,,,,,,F,,,,,TR
1676,N812SK,SEA,PHX,,,,,,,,,,,TS
1677,N200WN,PDX,SMF,,,,,,,F,,,,TR
1678,N6706Q,PDX,SLC,,,,,,,F,,,,TR
1679,N799AS,PDX,SEA,,,,,,,F,,,,TR
1680,N7714B,SEA,OAK,,,,,,,F,,,,TL
1681,N706AS,SEA,PHX,,,,,,,F,,,,TR
1682,N806SK,PDX,LAX,,,,,,,,,,,TR
1683,N529AS,SEA,STL,,,,,,,F,,,,TL
1684,N7720F,PDX,MCI,,,,,,,F,,,,TR
1685,N779SK,SEA,DEN,,,,,,,,,,,TR
1686,N653SW,PDX,OAK,,,,,,,F,,,,TR
1687,N648JB,SEA,JFK,,,,,,,F,,,,TR
1688,N77295,PDX,SFO,,,,,,F,,,,,TR
1689,N552AS,SEA,BUR,,,,,,,F,,,,TR
1690,N552AS,PDX,FAI,,,,,,,F,,,,TL
1691,N464AS,SEA,PHX,,,,,,,F,,,,TR
1692,N619AS,SEA,SFO,,,,,,,F,,,,TR
1693,N523AS,SEA,LAX,,,,,,,F,,,,TL
1694,N523JB,SEA,LGB,,,,,,,,,,,TL
1695,N477UA,PDX,SFO,,,,,,,F,,,,TR
1696,N1201P,PDX,ATL,,,FA,,,,,,,,TL
1697,N4XPAA,PDX,DFW,,,,,,F,F,,,,TR
1698,N38443,PDX,IAH,,,,,,F,,,,,TL
1699,N548AS,SEA,ANC,,,,,,,F,,,,TL
1700,N548AS,SEA,SFO,,,,,,,F,,,,TL
1701,N461AS,SEA,TUS,,,,,,,F,,,,TL
1702,N217AG,SEA,OMA,,,,,,,,,,,TS
1703,N446UA,SEA,ORD,,,,,,,F,,,,TL
1704,N810DN,SEA,DTW,,,,,,,F,,,,TR
1705,N705AS,SEA,LAX,,,,,,,F,,,,TL
1706,N317AS,PDX,SFO,,,,,,,F,,,,TL
1707,N598AA,PDX,DFW,,,,,,,F,,,,TL
1708,N517AS,SEA,SLC,,,,,,,F,,,,TR
1709,N225AG,PDX,ONT,,,,,,,,,,,TR
1710,N730SW,PDX,DEN,,,,,,,,,,,TR
1711,N823UA,PDX,ORD,,,,,,,F,,,,TL
1712,N548AS,SEA,DFW,,,,,,,F,,,,TR
1713,N5CNAA,SEA,DFW,,,,,,F,F,,,,TR
1714,N526VA,SEA,SFO,,,,,,,F,,,,TL
1715,N955WN,SEA,HOU,,,,,,,,,,,TL
1716,N764AS,SEA,ANC,,,,,,,F,,,,TL
1717,N626AS,PDX,LAS,,,,,,,F,,,,TL
1718,N3765,SEA,DTW,,,,,,F,F,,,,TL
1719,N216AG,SEA,LGB,,,,,,,,,,,TL
1720,N250WN,PDX,OAK,,,,,,,,,,,TL
1721,N611SK,PDX,LAX,,,,,,,,,,,TL
1722,N614AS,SEA,SNA,,,,,,,F,,,,TL
1723,N615AS,SEA,SNA,,,,,,,F,,,,TL
1724,N962SW,SEA,LAX,,,,,,,,,,,TL
1725,N464AS,SEA,DFW,,,,,,,F,,,,TR
1726,N129DL,SEA,ATL,,,,,,,,,,,TR
1727,N554CA,SEA,LAS,,,,,,,,,,,TL
1728,N768AS,SEA,ANC,,,FD,,,,F,,,,TL
1729,N542UW,PDX,PHX,,,,,,,F,,,,TL
1730,N564UA,SEA,DEN,,,,,,,F,,,,TL
1731,N396DA,SEA,ANC,,,,,,,,,,,TL
1732,N283WN,SEA,DEN,,,,,,,F,,,,TR
1733,N793AS,SEA,ANC,,,,,,,F,,,,TL
1734,N915DN,PDX,MSP,,,,,,,,,,,TR
1735,N584SW,PDX,RDM,,,,,,,,,,,TR
1736,N513AS,PDX,SAN,,,,,,,F,,,,TL
1737,N6711M,PDX,SLC,,,,,,,,,,,TR
1738,N678AW,SEA,PHX,,,,,,,F,,,,TL
1739,N430UA,SEA,IAH,,,,,,,F,,,,TL
1740,N431AS,PDX,LAX,,,,,,,F,,,,TR
1741,N934FR,PDX,DEN,,,,,,,F,,,,TL
1742,N820UA,PDX,IAD,,,,,,,F,,,,TL
1743,N3HLAA,PDX,ORD,,,,,,F,,,,,TR
1744,N627AS,SEA,ORD,,,,,,,F,,,,TL
1745,N590AS,SEA,OGG,,,,,,,F,,,,TL
1746,N614AS,SEA,LAS,,,,,,,F,,,,TL
1747,N760AS,PDX,SEA,,,,,,,F,,,,TR
1748,N533AS,PDX,OGG,,,,,,,F,,,,TL
1749,N824DN,SEA,ATL,,,,,,,F,,,,TR
1750,N203FR,SEA,DEN,,,,,,,F,,,,TR
1751,N812UA,PDX,IAH,,,,,,,F,,,,TL
1752,N518AS,PDX,SJC,,,,,,,F,,,,TR
1753,N451WN,PDX,DEN,,,,,,,,,,,TR
1754,N829UA,PDX,SFO,,,,,,,F,,,,TL
1755,N779AS,SEA,SIT,,,,,,,F,,,,TL
1756,N431AS,SEA,DFW,,,,,,,F,,,,TR
1757,N393HA,SEA,HNL,,,,,,,F,,,,TL
1758,N227AG,PDX,ONT,,,,,,,,,,,TR
1759,N941WN,SEA,LAS,,,,,,,,,,,TL
1760,N548AS,SEA,LAS,,,,,,,F,,,,TL
1761,N579AS,SEA,FLL,,,,,,,F,,,,TL
1762,N462AS,SEA,SFO,,,,,,,F,,,,TL
1763,N6709,SEA,DTW,,,,,,F,,,,,TR
1764,N767SK,SEA,DEN,,,,,,,,,,,TL
1765,N607AS,SEA,BUR,,,,,,,F,,,,TR
1766,N68452,SEA,EWR,,,,,,F,,,,,TL
1767,N559AS,SEA,ANC,,,,,,,F,,,,TL
1768,N219AG,PDX,TUS,,,,,,,,,,,TL
1769,N626SW,PDX,SMF,,,,,,,F,,,,TR
1770,N615AS,SEA,PHX,,,,,,,F,,,,TR
1771,N378DA,PDX,JFK,,,,MA,,,F,,M,,M
1772,N360SW,PDX,SLC,,,,,,,F,,,,TR
1773,N126DL,SEA,ATL,,,,,,,,,,,TL
1774,N7743B,SEA,MDW,,,,,,,,,,,TL
1775,N75426,SEA,IAH,,,FD,,,F,,,,,TR
1776,N960WN,PDX,PHX,,,,,,,,,,,TR
1777,N561UA,SEA,IAD,,,,,,,F,,,,TL
1778,N590AS,SEA,LAS,,,,,,,F,,,,TR
1779,N587JB,SEA,LGB,,,,,,,,,,,TL
1780,N652SW,SEA,SMF,,,,,,,F,,,,TR
1781,N4YCAA,PDX,DFW,,,,,,F,,,,,TL
1782,N813UA,SEA,SFO,,,,,,,F,,,,TR
1783,N756AS,SEA,SJC,,,,,,,F,,,,TL
1784,N594AS,SEA,OAK,,,,,,,F,,,,TR
1785,N651AW,PDX,PHX,,,,,,,F,,,,TR
1786,N464AS,SEA,LAS,,,,,,,F,,,,TL
1787,N224AG,PDX,TUS,,,,,,,,,,,TL
1788,N385HA,PDX,HNL,,,,,,,F,,,,TL
1789,N588NW,SEA,HNL,,,,,,,,,,,TL
1790,N958SW,SEA,SFO,,,,,,,,,,,TL
1791,N760SW,PDX,LAS,,,,,,,,,,,TR
1792,N837VA,PDX,SFO,,,,,,,F,,,,TR
1793,N821SK,SEA,LAS,,,,,,,,,,,TL
1794,N765AS,SEA,KTN,,,,,,,F,,,,TL
1795,N551AS,SEA,TPA,,,,,,,F,,,,TR
1796,N617QX,SEA,SJC,,,,,,,,,,,TR
1797,N740SK,PDX,SFO,,,,,,,,,,,TR
1798,N224AG,PDX,ONT,,,,,,,,,,,TR
1799,N3765,SEA,LAX,,,,,,F,,,,,TR
1800,N590AS,SEA,SJC,,,,,,,F,,,,TL
1801,N30401,SEA,EWR,,,,,,F,,,,,TL
1802,N627AS,PDX,LAS,,,,,,,F,,,,TL
1803,N72405,PDX,ORD,,,,,,F,,,,,TL
1804,N813SK,SEA,LAS,,,,,,,,,,,TR
1805,N8601C,SEA,DEN,,,,,,,,,,,TR
1806,N219AG,PDX,TUS,,,,,,,,,,,TL
1807,N612AS,PDX,SNA,,,,,,,F,,,,TR
1808,N491WN,PDX,SMF,,,,,,,F,,,,TR
1809,N535AS,SEA,OGG,,,,,,,F,,,,TL
1810,N713AS,SEA,OAK,,,,,,,F,,,,TR
1811,N4WKAA,PDX,DFW,,,,,,F,,,,,TR
1812,N462AS,SEA,HNL,,,,,,,F,,,,TL
1813,N227AG,PDX,BUR,,,,,,,,,,,TR
1814,N6707A,PDX,SLC,,,,,,,,,,,TR
1815,N69834,PDX,ORD,,,,,,F,,,,,TR
1816,N34282,PDX,SFO,,,,,,F,,,,,TL
1817,N566AS,SEA,ANC,,,,,,,F,,,,TL
1818,N354NW,SEA,SLC,,,,,,,,,,,TR
1819,N786AS,SEA,JNU,,,,,,,F,,,,TL
1820,N579SW,PDX,LMT,,,,,,,,,,,TR
1821,N786AS,PDX,PHX,,,,,,,F,,,,TL
1822,N162PQ,PDX,LAX,,,,,,,,,,,TR
1823,N596NW,SEA,DTW,,,,,,,,,,,TS
1824,N769AS,SEA,GEG,,,,,,,F,,,,TR
1825,N459AS,SEA,KOA,,,,,,,F,,,,TL
1826,N596AS,SEA,PHX,,,,,,,F,,,,TL
1827,N3DUAA,SEA,DFW,,,,,,F,,,,,TR
1828,N558AS,SEA,OGG,,,,,,,F,,,,TL
1829,N765SW,SEA,OAK,,,,,,,,,,,TR
1830,N770SA,SEA,SJC,,,,,,,,,,,TL
1831,N380HA,PDX,HNL,,,,,,,F,,,,TL
1832,N37456,PDX,SFO,,,,,,F,,,,,TR
1833,N408AS,SEA,ANC,,,,,,,F,,,,TL
1834,N797AS,SEA,ANC,,,,,,,F,,,,TL
1835,N614SK,SEA,LAS,,,,,,,,,,,TR
1836,N579AS,SEA,ANC,,,,,,,F,,,,TL
1837,N307AS,SEA,LAS,,,,,,,F,,,,TR
1838,N980SW,PDX,SFO,,,,,,,,,,,TR
1839,N919WN,SEA,RNO,,,,,,,F,,,,TR
1840,N3ASAA,SEA,DFW,,,,,,F,,,,,TL
1841,N536UW,SEA,CLT,,,,,,,,,,,TR
1842,N736SA,SEA,OAK,,,,,,,,,,,TL
1843,N536AS,PDX,LAX,,,,,,,F,,,,TL
1844,N586AS,SEA,TUS,,,,,,,F,,,,TR
1845,N627AS,PDX,ANC,,,,,,,F,,,,TL
1846,N39418,SEA,DEN,,,,,,F,,,,,TR
1847,N378NW,PDX,MSP,,,,,,,F,,,,TL
1848,N216FR,SEA,CLE,,,,,,,,,,,TL
1849,N709UW,PDX,CLT,,,,,,,,,,,TR
1850,N359NW,SEA,SLC,,,,,,,,,,,TR
1851,N535UA,SEA,IAD,,,,,,,F,,,,TL
1852,N490UA,SEA,ORD,,,,,,,F,,,,TR
1853,N567SW,PDX,EUG,,,,,,,,,,,TR
1854,N616SW,PDX,DEN,,,,,,,,,,,TR
1855,N518AS,SEA,HNL,,,,,,,F,,,,TL
1856,N702TW,SEA,JFK,,,,,,,,,,,TL
1857,N612AS,SEA,LAX,,,,,,,F,,,,TL
1858,N3KNAA,SEA,ORD,,,,,,F,,,,,TL
1859,N215AG,PDX,BUR,,,,,,,,,,,TR
1860,N8621A,PDX,LAS,,,,,,,,,,,TR
1861,N614AS,SEA,KTN,,,,,,,F,,,,TR
1862,N614AS,SEA,SNA,,,,,,,F,,,,TL
1863,N644SW,SEA,OAK,,,,,,,,,,,TR
1864,N223AG,PDX,BUR,,,,,,,,,,,TR
1865,N442UA,PDX,SFO,,,,,,,F,,,,TR
1866,N6706Q,SEA,DTW,,,,,,,,,,,TR
1867,N802UA,PDX,SFO,,,,,,,F,,,,TR
1868,N389DA,PDX,ATL,,,,,,,F,,,,TR
1869,N4XBAA,PDX,DFW,,,,,,F,,,,,TL
1870,N3767,SEA,LAX,,,,,,F,,,,,TR
1871,N607AS,SEA,LAS,,,,,,,F,,,,TL
1872,N307AS,SEA,LAX,,,,,,,F,,,,TR
1873,N684DA,SEA,SLC,,,,,,,,,,,TR
1874,N516AS,SEA,OAK,,,,,,,F,,,,TL
1875,N566AS,PDX,BOS,,,,,,,F,,,,TR
1876,N537AS,SEA,SMF,,,,,,,F,,,,TR
1877,N319AS,SEA,ORD,,,,,,,F,,,,TL
1878,N303AS,SEA,LAS,,,,,,,F,,,,TL
1879,N823DN,PDX,SLC,,,,,,,F,,,,TR
1880,N467UA,SEA,ORD,,,,,,,F,,,,TL
1881,N728SW,SEA,OAK,,,,,,,,,,,TL
1882,N571UW,SEA,CLT,,,,,,,F,,,,TR
1883,N597AS,SEA,EWR,,,,,,,F,,,,TL
1884,N218AG,PDX,LGB,,,,,,,,,,,TL
1885,N708AS,SEA,PHX,,,,,,,F,,,,TL
1886,N618JB,PDX,BOS,,,FD,,,,F,,,,TL
1887,N307AS,SEA,ANC,,,,,,,F,,,,TL
1888,N527VA,SEA,SFO,,,,,,,F,,,,TL
1889,N315AS,SEA,DTW,,,,,,,F,,,,TL
1890,N645SW,PDX,OAK,,MH,MD,MD,,,F,,M,,M
1891,N223FR,PDX,DEN,,,,,,,F,,,,TR
1892,N410UA,SEA,IAH,,,,,,,F,,,,TL
1893,N779AS,SEA,SFO,,,,,,,F,,,,TL
1894,N630AA,SEA,MIA,,,,,,,,,,,TR
1895,N556UA,SEA,IAD,,,,,,,F,,,,TR
1896,N516AS,PDX,SAN,,,,,,,F,,,,TR
1897,N652BR,PDX,SFO,,,,,,,,,,,TL
1898,N534AS,PDX,PHX,,,,,,,F,,,,TL
1899,N530AS,SEA,FLL,,,,,,,F,,,,TL
1900,N586AS,SEA,LAS,,,,,,,F,,,,TL
1901,N537AS,SEA,BOS,,,,,,,F,,,,TR
1902,N6712B,SEA,SLC,,,,,,,F,,,,TR
1903,N793AS,SEA,ANC,,,,,,,F,,,,TL
1904,N39463,PDX,DEN,,,,,,F,,,,,TL
1905,N594UA,SEA,DEN,,,,,,,F,,,,TR
1906,N529VA,SEA,LAX,,,,,,,F,,,,TL
1907,N825SK,SEA,LAX,,,,,,,,,,,TL
1908,N3JHAA,SEA,MIA,,,,,,F,,,,,TL
1909,N756AS,SEA,LAX,,,,,,,F,,,,TL
1910,NA,PDX,IAH,,MH,MD,MD,,M,F,,M,,M
1911,N779AS,SEA,SFO,,,,,,,F,,,,TL
1912,N3DFAA,SEA,ORD,,,,,,F,F,,,,TL
1913,N628SW,PDX,MCI,,,,,,,,,,,TL
1914,N439UA,SEA,LAX,,,,,,,F,,,,TL
1915,N457AS,SEA,FAI,,,,,,,F,,,,TL
1916,N87512,PDX,SFO,,,,,,F,,,,,TR
1917,N827DN,SEA,ATL,,,,,,,,,,,TR
1918,N594AS,SEA,LAS,,,,,,,F,,,,TL
1919,N208WN,PDX,SMF,,,,,,,,,,,TR
1920,N797AS,SEA,SFO,,,,,,,F,,,,TR
1921,N217AG,SEA,COS,,,,,,,,,,,TR
1922,N8327A,SEA,DEN,,,,,,,,,,,TL
1923,N710SW,PDX,OAK,,,,,,,,,,,TR
1924,N586SW,PDX,SEA,,,,,,,,,,,TR
1925,N14237,PDX,ORD,,,,,,F,,,,,TL
1926,N788AS,SEA,ONT,,,,,,,F,,,,TR
1927,N464AS,PDX,ORD,,,,,,,F,,,,TL
1928,N584NW,SEA,HNL,,,,,,,,,,,TL
1929,N512AS,PDX,ANC,,,,,,,F,,,,TL
1930,N217AG,SEA,LGB,,,,,,,,,,,TL
1931,N508AS,PDX,SFO,,,,,,,F,,,,TL
1932,N664AW,SEA,PHL,,,,,,,F,,,,TR
1933,N754AS,PDX,LAX,,,,,,,F,,,,TL
1934,N317AS,SEA,ONT,,,,,,,F,,,,TL
1935,N442AS,SEA,EWR,,,,,,,F,,,,TL
1936,N713AS,SEA,SNA,,,,,,,F,,,,TL
1937,N768AS,SEA,ANC,,,,,,,F,,,,TL
1938,N67812,PDX,IAH,,,,,,F,,,,,TL
1939,N610DL,SEA,FAI,,,,,,,,,,,TL
1940,N556UA,PDX,ORD,,,,,,,F,,,,TR
1941,N4YHAA,PDX,DFW,,,,,,F,F,,,,TR
1942,N846UA,SEA,ORD,,,,,,,F,,,,TR
1943,N459AS,SEA,STL,,,,,,,F,,,,TR
1944,N602SW,SEA,OAK,,,,,,,F,,,,TR
1945,N3JHAA,SEA,JFK,,,,,,F,F,,,,TL
1946,N796AS,SEA,SJC,,,,,,,F,,,,TL
1947,N472UA,PDX,SFO,,,,,,,F,,,,TR
1948,N579SW,SEA,PDX,,,,,,,,,,,TR
1949,N609AS,SEA,PHX,,,,,,,F,,,,TL
1950,N611AS,SEA,FAI,,,,,,,F,,,,TL
1951,N588AS,SEA,JNU,,,,,,,F,,,,TR
1952,N695DL,SEA,JFK,,,,,,,F,,,,TL
1953,N381DN,PDX,JFK,,,,,,,F,,,,TL
1954,N739GB,PDX,SJC,,,,,,,,,,,TR
1955,N3HKAA,SEA,ORD,,,,,,F,F,,,,TR
1956,N305AS,SEA,SLC,,,,,,,F,,,,TR
1957,N533AS,PDX,KOA,,,,,,,F,,,,TL
1958,N618AS,SEA,MSP,,,,,,,F,,,,TL
1959,N551AS,SEA,ONT,,,,,,,F,,,,TR
1960,N817UA,SEA,EWR,,,,,,,F,,,,TL
1961,N66825,PDX,IAH,,,,,,F,,,,,TL
1962,N386DA,PDX,ATL,,,,,,,,,,,TL
1963,N577UA,SEA,DEN,,,,,,,F,,,,TR
1964,N533AS,SEA,BUR,,,,,,,F,,,,TR
1965,N560AS,SEA,BLI,,,FA,,,,F,,,,TR
1966,N754AS,SEA,ANC,,,,,,,F,,,,TL
1967,N57439,SEA,IAD,,,,,,F,,,,,TL
1968,N764AS,SEA,KTN,,,,,,,F,,,,TL
1969,N37427,PDX,SFO,,,,,,F,,,,,TR
1970,N419AS,SEA,ORD,,,,,,,F,,,,TR
1971,N779AS,SEA,ANC,,,,,,,F,,,,TL
1972,N954DN,PDX,MSP,,,,,,,,,,,TR
1973,N469AS,SEA,BOS,,,,,,,F,,,,TL
1974,N79402,SEA,SFO,,,,,,F,,,,,TL
1975,N215AG,SEA,LGB,,,,,,,,,,,TL
1976,N648AW,SEA,PHL,,,,,,,F,,,,TL
1977,N112US,SEA,PHL,,,FD,,,,,,,,TL
1978,N517AS,SEA,LAX,,,,,,,F,,,,TR
1979,N373DA,SEA,DTW,,,,,,,F,,,,TL
1980,N117UW,PDX,CLT,,,,,,,,,,,TL
1981,N711ZX,SEA,OGG,,,,,,,,,,,TL
1982,N339NW,PDX,MSP,,,,,,,,,,,TR
1983,N452WN,PDX,SMF,,,,,,,F,,,,TR
1984,N26215,SEA,DEN,,,,,,F,,,,,TL
1985,N389DA,SEA,MSP,,,,,,,,,,,TR
1986,N565JB,PDX,JFK,,,,,,,,,,,TL
1987,N619AS,PDX,SFO,,,,,,,F,,,,TR
1988,N756AS,SEA,SFO,,,,,,,F,,,,TL
1989,N8619F,PDX,LAS,,,,,,,,,,,TR
1990,N461AS,SEA,LAX,,,FA,,,,F,,,,TR
1991,N604SW,PDX,PHX,,,,,,,F,,,,TL
1992,N309AS,SEA,SAN,,,,,,,F,,,,TL
1993,N331NW,SEA,MSP,,,,,,,,,,,TR
1994,N210WN,SEA,HOU,,,,,,,,,,,TL
1995,NA,SEA,DEN,,MH,MD,MD,,M,,,M,,M
1996,N516AS,PDX,KOA,,,,,,,F,,,,TL
1997,N793AS,PDX,LAX,,,,,,,F,,,,TL
1998,N809DN,PDX,DTW,,,,,,,F,,,,TR
1999,N3GMAA,SEA,ORD,,,,,,F,,,,,TL
2000,N36472,SEA,SFO,,,,,,F,,,,,TR
2001,N3KDAA,SEA,DFW,,,,,,F,,,,,TL
2002,N7812G,PDX,DEN,,,,,,,F,,,,TR
2003,N643DL,SEA,MSP,,,,,,,,,,,TR
2004,N7701B,SEA,SAN,,,,,,,F,,,,TL
2005,N696DL,PDX,SLC,,,,,,,,,,,TR
2006,N566AS,SEA,OGG,,,,,,,F,,,,TL
2007,N744SW,SEA,PHX,,,,,,,,,,,TR
2008,N183UW,PDX,PHX,,,,,,,F,,,,TR
2009,N461AS,SEA,SMF,,,,,,,F,,,,TR
2010,N549AS,SEA,MCO,,,,,,,F,,,,TL
2011,N693DL,SEA,JNU,,,,,,,,,,,TL
2012,N306AS,SEA,ORD,,,,,,,F,,,,TL
2013,N69818,SEA,SFO,,,,,,F,,,,,TL
2014,N526VA,SEA,LAX,,,,,,,F,,,,TL
2015,N524AS,SEA,SAN,,,,,,,F,,,,TL
2016,N638SW,SEA,OAK,,,,,,,,,,,TR
2017,N6715C,PDX,SLC,,,,,,,,,,,TR
2018,N772SW,SEA,HOU,,,,,,,,,,,TL
2019,N615AS,SEA,SMF,,,,,,,F,,,,TR
2020,N613AS,SEA,DEN,,,,,,,F,,,,TR
2021,N3CEAA,SEA,DFW,,,,,,F,,,,,TR
2022,N284YV,SEA,PDX,,,,,,,,,,,TR
2023,N303AS,SEA,ANC,,,FA,,,,F,,,,TL
2024,N590NW,SEA,MSP,,,,,,,,,,,TR
2025,N805UA,PDX,SFO,,,,,,,F,,,,TR
2026,N799AS,SEA,SFO,,,,,,,F,,,,TR
2027,N822SK,SEA,PDX,,,,,,,,,,,TR
2028,N6704Z,SEA,SLC,,,,,,,,,,,TR
2029,N156UW,SEA,PHX,,,,,,,,,,,TR
2030,N399HA,PDX,HNL,,,,,,,F,,,,TL
2031,N632SK,SEA,SJC,,,,,,,,,,,TL
2032,N442AS,PDX,FAI,,,FA,,,,F,,,,TL
2033,N361VA,SEA,LAX,,,,,,,F,,,,TR
2034,N566SW,PDX,RDM,,,,,,,,,,,TR
2035,N536AS,SEA,PSP,,,,,,,F,,,,TR
2036,N563SW,PDX,EUG,,,,,,,,,,,TR
2037,N652AW,PDX,CLT,,,,,,,,,,,TL
2038,N708AS,SEA,GEG,,,,,,,F,,,,TR
2039,N612AS,PDX,LAS,,,,,,,F,,,,TR
2040,NA,SEA,PHX,,MH,MD,MD,,M,F,,M,,M
2041,N845UA,PDX,SFO,,,,,,,F,,,,TR
2042,N110UW,SEA,PHL,,,,,,,,,,,TL
2043,N225AG,SEA,LGB,,,,,,,,,,,TL
2044,N523JB,SEA,BOS,,,,,,,F,,,,TR
2045,N214WN,SEA,LAS,,,,,,,F,,,,TR
2046,N37290,SEA,DEN,,,,,,F,,,,,TR
2047,N3746H,SEA,LAX,,,,,,,,,,,TR
2048,N566UA,PDX,ORD,,,,,,,F,,,,TR
